Genes	JQ1
CCNA2	-10
CAST	0
DAG1	13
PLOD3	-12
CGRRF1	0
EPHB2	0
CEP57	0
CSNK1A1	0
WASF3	0
PSMB10	-5
ARFIP2	9
CRKL	0
NUP62	-10
TRAPPC6A	9
LRP10	-7
TXLNA	7
DYNLT3	0
RAB31	0
LAMA3	0
SLC35A1	8
CASK	0
SPAG4	0
ALDOA	7
RFC5	0
ABHD6	5
DENND2D	0
NOTCH1	0
BAX	0
RALB	0
SKIV2L	9
ECD	-9
LRPAP1	9
PSRC1	-7
VAV3	0
ALAS1	0
ATG3	-9
KIF5C	6
KLHDC2	7
KTN1	11
CTTN	0
GOLT1B	-13
CCL2	-7
PHKB	0
MAPK1IP1L	0
FOSL1	-8
NPC1	10
ITGB5	0
EVL	0
TESK1	0
FBXO7	0
MMP1	7
FSD1	-6
COASY	0
CCND3	0
CLTC	5
STAT1	6
INSIG1	5
MAT2A	0
XPO7	0
AARS	0
TMEM110	6
STX4	0
IKBKAP	5
TRAP1	0
USP1	-9
HIST2H2BE	12
ATMIN	0
SATB1	0
POLB	6
POLD4	0
CRTAP	0
SSBP2	8
TARBP1	0
KAT6B	0
LPAR2	0
SOX2	0
TP53BP2	5
GPC1	11
S100A13	-7
STMN1	0
SNX7	0
VGLL4	0
HEATR1	0
PSME1	0
NSDHL	0
NUSAP1	0
RPP38	0
CHAC1	0
HMGA2	-11
MVP	0
EIF4G1	0
MTERFD1	6
INTS3	-10
EBP	-7
TOR1A	0
HDAC6	8
GADD45B	11
MAMLD1	0
PNP	6
PLSCR3	-6
CASP3	6
PIGB	-12
WFS1	9
MEF2C	0
ARNT2	0
CBR1	0
LBR	0
PARP1	8
RPL39L	-5
PTPRC	0
PDIA5	0
COG7	0
CDC25A	-6
RBKS	0
MTFR1	0
